Comune,"Ospedale di riferimento (linea d’aria, macro-area)",Indirizzo Ospedale,Telefono,Prenotazioni/CUP,Note
Cernusco sul Naviglio,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Cerro Maggiore,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Cerro al Lambro,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Cesano Boscone,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Cesate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Cinisello Balsamo,Bassini (ASST Nord Milano),"Via M. Gorki 50, Cinisello Balsamo",+39 02 5799.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord Milano (Cinisello/Sesto/Cologno)
Cisliano,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Cologno Monzese,Bassini (ASST Nord Milano),"Via M. Gorki 50, Cinisello Balsamo",+39 02 5799.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord Milano (Cinisello/Sesto/Cologno)
Colturano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Corbetta,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Cormano,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Cornaredo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Corsico,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Cuggiono,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Cusago,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Cusano Milanino,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Dairago,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Dresano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Gaggiano,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Garbagnate Milanese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Gessate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Gorgonzola,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Grezzago,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Gudo Visconti,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Inveruno,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Inzago,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Lacchiarella,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Lainate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Legnano,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Liscate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Locate di Triulzi,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Magenta,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Magnago,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Marcallo con Casone,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Masate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Mediglia,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Melegnano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Melzo,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Mesero,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Milano,Policlinico di Milano (Ca’ Granda),"Via Francesco Sforza 28, Milano",+39 02 5503.1 (H24),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),IRCCS; centro; include Clinica Mangiagalli
Morimondo,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Motta Visconti,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Nerviano,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Nosate,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Novate Milanese,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Noviglio,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Opera,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Ossona,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Ozzero,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Paderno Dugnano,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Pantigliate,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Parabiago,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Paullo,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Pero,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Peschiera Borromeo,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Pessano con Bornago,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Pieve Emanuele,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Pioltello,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Pogliano Milanese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Pozzo d'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Pozzuolo Martesana,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Pregnana Milanese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Rescaldina,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Rho,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Robecchetto con Induno,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Robecco sul Naviglio,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Rodano,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Rosate,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Rozzano,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
San Colombano al Lambro,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
San Donato Milanese,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
San Giorgio su Legnano,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
San Giuliano Milanese,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
San Vittore Olona,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
San Zenone al Lambro,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Sedriano,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Segrate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Senago,Niguarda (ASST GOM Niguarda),"Piazza dell’Ospedale Maggiore 3, Milano",+39 02 6444.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Ospedale hub; PS; Trauma center
Sesto San Giovanni,Bassini (ASST Nord Milano),"Via M. Gorki 50, Cinisello Balsamo",+39 02 5799.1,Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord Milano (Cinisello/Sesto/Cologno)
Settala,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Settimo Milanese,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Solaro,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Trezzano Rosa,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Trezzano sul Naviglio,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Trezzo sull'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Tribiano,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
Truccazzano,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Turbigo,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Vanzaghello,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Vanzago,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Vaprio d'Adda,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Vermezzo con Zelo,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Vernate,Humanitas Rozzano,"Via Manzoni 56, Rozzano",+39 02 8224.1,SSN: 02 8224 8282 (lun–ven 9–17),Sud/sud-ovest; anche privati/assicurati
Vignate,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Villa Cortese,Sacco (ASST Fatebenefratelli Sacco),"Via Giovanni Battista Grassi 74, Milano",+39 02 3904.1 (centralino),Numero Verde Regionale: 800 638 638 (fisso) / 02 99 95 99 (mobile),Nord-ovest Milano
Vimodrone,San Raffaele (IRCCS),"Via Olgettina 60, Milano",+39 02 2643.1 (centralino),CUP: +39 02 2643 2643 (lun–ven 8:30–16:00; sab 8:30–12:00),IRCCS; polo est (Martesana/Segrate)
Vittuone,San Carlo (ASST Santi Paolo e Carlo),"Via Pio II 3, Milano",+39 02 4022.1,CUP ambulatoriale: 02 4022 2747; Numero Verde Regionale 800 638 638,Polo sud-ovest Milano
Vizzolo Predabissi,Policlinico San Donato,"Piazza E. Malan 1, San Donato Milanese",+39 02 5277.1,CUP: +39 02 5277 41 (lun–sab 8–20),Sud-est Milano
